Education_Level,Income_Category,Card_Category,Months_on_book,amt,latitude,longitude,is_fraud,age,trans_hour,trans_day_of_week,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,business_type_Big Box Retail,business_type_E-commerce,business_type_Electronics,business_type_Food & Beverage,business_type_Gas Station,business_type_Grocery,business_type_Pharmacy/Retail,business_type_Subscription,business_type_Transportation
3,-1,0,110,48.38,46.086,-86.9836,0,25,12,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,-1,0,110,71.85,45.6107,-83.2557,0,25,15,4,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,58,68.64,52.1191,-106.0866,0,60,9,4,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,58,19.88,52.9305,-72.7891,0,60,6,5,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,58,54.8,48.0203,-77.9326,0,60,12,6,1,0,0,0,0,0,0,0,0,0,0,1,0
2,2,0,114,41.8,43.463,-77.5441,0,31,22,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,4,0,40,53.6,45.1774,-116.4671,0,65,15,5,0,1,0,0,0,0,0,0,0,0,0,0,1
5,4,0,40,64.44,44.2717,-94.1989,0,65,6,6,0,1,0,0,0,1,0,0,0,0,0,0,0
5,4,0,40,39.07,50.3842,-103.9879,0,65,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,3,2,56,33.2,52.7089,-61.7356,0,52,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0
0,3,2,56,37.87,44.0789,-97.8448,0,52,22,2,0,0,1,0,0,0,0,1,0,0,0,0,0
5,3,0,95,31.04,50.3078,-116.4005,0,78,17,1,0,0,0,1,0,1,0,0,0,0,0,0,0
5,3,0,95,209.71,52.8166,-86.268,0,78,7,3,0,0,0,1,0,0,0,0,0,0,0,0,1
5,3,0,95,101.53,44.2217,-87.2111,0,78,18,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5,3,0,95,13.62,43.4866,-102.6367,0,78,23,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5,3,0,95,66.42,53.4114,-114.228,0,78,17,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,3,0,95,40.49,47.7973,-98.8686,0,78,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0
-1,0,0,108,76.79,51.412,-76.5366,0,46,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-1,0,0,108,56.27,53.7388,-86.4711,0,46,9,2,0,0,0,1,0,0,0,0,0,0,0,1,0
5,3,0,14,19.61,52.6122,-110.3037,0,17,23,4,0,1,0,0,0,0,1,0,0,0,0,0,0
5,3,0,14,29.12,45.7882,-72.9461,0,17,10,4,0,1,0,0,0,1,0,0,0,0,0,0,0
5,3,0,14,91.45,53.4873,-86.3383,0,17,23,3,0,1,0,0,0,0,0,0,0,0,0,1,0
5,3,0,14,63.27,49.6772,-103.6984,0,17,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0
0,-1,0,62,160.27,46.5108,-73.6584,0,55,8,3,0,1,0,0,0,0,0,0,0,0,0,0,1
0,-1,0,62,108.81,47.7093,-66.9118,0,55,9,4,0,1,0,0,0,0,0,0,0,1,0,0,0
0,-1,0,62,69.14,52.4544,-75.7476,0,55,23,3,0,1,0,0,0,0,0,0,1,0,0,0,0
0,-1,0,62,56.43,48.3222,-94.882,0,55,3,4,0,1,0,0,0,1,0,0,0,0,0,0,0
0,-1,0,62,43.01,47.5138,-81.339,0,55,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0
0,-1,0,62,77.65,43.5623,-64.7376,0,55,18,6,0,1,0,0,0,0,0,0,0,1,0,0,0
0,-1,0,62,85.78,49.9894,-115.5971,0,55,10,6,0,1,0,0,0,0,0,0,0,0,1,0,0
0,-1,0,62,13.95,48.9945,-71.1458,0,55,13,4,0,1,0,0,0,1,0,0,0,0,0,0,0
-1,-1,0,99,76.3,43.4364,-117.3839,0,58,14,4,1,0,0,0,0,0,0,0,0,0,0,1,0
-1,-1,0,99,75.52,48.4134,-120.2997,0,58,13,4,1,0,0,0,0,1,0,0,0,0,0,0,0
-1,-1,0,99,154.35,47.1391,-67.4867,0,58,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1
5,1,2,50,238.55,49.0234,-106.1352,0,57,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0
4,0,0,13,205.8,48.78,-72.0357,0,18,22,6,0,1,0,0,0,1,0,0,0,0,0,0,0
4,0,0,13,89.72,47.4924,-101.3146,0,18,21,5,0,1,0,0,0,0,0,0,1,0,0,0,0
-1,0,0,13,42.92,54.3641,-115.6063,0,18,19,4,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,0,0,13,83.92,52.2639,-66.1101,0,18,19,3,0,1,0,0,0,0,0,0,0,0,0,1,0
-1,0,0,13,57.03,45.4418,-63.644,0,18,6,1,0,1,0,0,0,0,1,0,0,0,0,0,0
5,3,0,67,228.18,54.696,-72.4969,0,69,15,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5,3,0,67,43.83,44.266,-76.4318,0,69,11,4,0,0,0,1,0,0,1,0,0,0,0,0,0
4,1,0,22,30.31,48.6177,-85.1173,0,76,19,4,0,0,0,1,0,0,1,0,0,0,0,0,0
4,1,0,22,35.0,43.397,-88.0961,0,76,15,5,0,0,0,1,0,1,0,0,0,0,0,0,0
4,1,0,22,46.76,44.0461,-102.6943,0,76,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0
4,1,0,22,48.87,50.1336,-122.4159,0,76,3,6,0,0,0,1,0,1,0,0,0,0,0,0,0
2,-1,0,14,100.53,46.2995,-110.5331,0,65,9,4,1,0,0,0,0,0,1,0,0,0,0,0,0
2,-1,0,14,158.88,51.7808,-88.0681,0,65,11,4,1,0,0,0,0,0,0,0,0,1,0,0,0
2,-1,0,14,82.8,51.6678,-92.6004,0,65,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,-1,0,14,48.03,43.2326,-75.55,0,65,14,5,1,0,0,0,0,0,0,1,0,0,0,0,0
2,-1,0,14,47.89,48.5062,-101.2885,0,65,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,-1,0,14,173.63,43.9662,-61.7467,0,65,6,2,1,0,0,0,0,0,0,1,0,0,0,0,0
2,1,0,30,2.59,52.7352,-60.5024,0,36,7,2,1,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,22,6.35,47.3518,-113.3153,0,36,12,4,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,1,22,362.64,50.5181,-86.6274,0,36,18,3,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,22,130.08,46.5482,-107.0623,0,36,23,5,0,1,0,0,0,1,0,0,0,0,0,0,0
1,1,1,22,31.81,49.3049,-78.1345,0,36,13,3,0,1,0,0,0,1,0,0,0,0,0,0,0
3,-1,0,18,66.03,45.6267,-72.6078,0,44,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0
1,3,0,12,71.0,48.0445,-120.4528,0,76,8,5,0,0,0,1,0,0,1,0,0,0,0,0,0
1,3,0,12,39.61,44.8778,-60.7361,0,76,6,3,0,0,0,1,0,0,1,0,0,0,0,0,0
4,2,0,116,30.51,54.4247,-97.9946,0,64,21,5,0,0,0,1,1,0,0,0,0,0,0,0,0
4,2,0,116,86.36,45.1297,-65.3566,0,64,18,4,0,0,0,1,0,1,0,0,0,0,0,0,0
4,2,0,116,15.85,44.9828,-119.842,0,64,13,6,0,0,0,1,0,0,0,0,0,0,0,1,0
4,2,0,116,43.93,50.7645,-106.5647,0,64,15,2,0,0,0,1,0,0,0,0,1,0,0,0,0
4,2,0,116,61.09,54.0831,-64.0386,0,64,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0,-1,1,35,144.54,44.8122,-61.6277,0,51,6,3,0,0,0,1,0,0,0,0,1,0,0,0,0
0,-1,1,35,240.18,48.6698,-90.4442,0,51,12,5,0,0,0,1,0,0,0,0,0,1,0,0,0
0,-1,1,35,50.05,48.9904,-83.0943,0,51,8,6,0,0,0,1,0,0,0,1,0,0,0,0,0
0,-1,1,35,67.52,46.7536,-78.2977,0,51,9,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0,-1,1,35,221.45,43.466,-71.9915,0,51,23,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,3,0,100,61.19,45.479,-117.6146,0,68,19,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2,3,0,100,151.87,46.4517,-64.8218,0,68,9,6,0,0,1,0,0,0,0,0,0,1,0,0,0
5,1,0,91,100.93,47.1445,-85.9291,0,51,19,5,0,0,1,0,0,0,0,0,0,0,1,0,0
5,1,0,91,32.26,51.6109,-77.0053,0,51,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0
5,1,0,91,93.89,48.1466,-121.67,0,51,12,4,0,0,1,0,0,1,0,0,0,0,0,0,0
5,1,0,91,64.58,52.622,-108.1896,0,51,9,6,0,0,1,0,0,0,0,0,1,0,0,0,0
5,1,0,91,277.11,46.494,-105.5011,0,51,9,2,0,0,1,0,0,0,0,0,0,0,0,0,1
5,1,0,91,117.17,45.191,-82.0949,0,51,4,6,0,0,1,0,0,0,0,0,0,0,0,1,0
5,1,0,91,41.09,44.9792,-117.5694,0,51,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,0,0,59,302.66,44.2554,-71.5092,0,77,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,59,105.77,49.036,-92.8204,0,77,12,2,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0,59,114.02,44.7723,-101.6864,0,77,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0,0,59,147.67,43.3721,-82.7897,0,77,10,5,0,0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,59,36.27,53.8073,-63.1241,0,77,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
-1,0,0,59,128.31,47.3855,-92.9038,0,36,13,4,1,0,0,0,0,0,0,1,0,0,0,0,0
-1,0,0,59,14.51,48.6704,-121.6449,0,36,10,5,1,0,0,0,0,0,0,0,0,0,0,1,0
-1,0,0,59,85.22,46.3683,-99.7636,0,36,11,6,1,0,0,0,1,0,0,0,0,0,0,0,0
-1,0,0,59,11.75,47.7345,-61.8603,0,36,6,6,1,0,0,0,0,0,0,0,0,0,0,0,1
-1,0,0,59,199.54,49.0852,-105.0535,0,36,11,1,1,0,0,0,0,0,1,0,0,0,0,0,0
-1,0,0,59,38.2,46.5153,-94.3535,0,36,8,5,1,0,0,0,0,0,0,0,0,0,0,0,1
-1,0,0,59,89.35,50.1238,-72.4358,0,36,14,4,1,0,0,0,0,0,0,0,0,1,0,0,0
-1,0,0,59,60.58,52.6129,-103.0857,0,36,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0
5,-1,0,49,35.72,49.8226,-100.6934,0,28,22,6,1,0,0,0,0,0,0,0,0,0,0,1,0
5,-1,0,49,90.68,53.9748,-96.0124,0,28,18,4,1,0,0,0,0,0,0,0,1,0,0,0,0
5,-1,0,49,86.46,48.6255,-110.2059,0,28,16,2,1,0,0,0,0,0,0,0,0,0,0,1,0
5,-1,0,49,176.69,45.1547,-116.8747,0,28,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,108,93.31,46.3323,-77.1881,0,54,5,4,1,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,108,44.45,46.9436,-90.497,0,54,15,4,1,0,0,0,0,0,0,0,1,0,0,0,0
2,2,0,75,64.36,44.9317,-101.4372,0,45,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0
2,2,0,75,50.66,53.0651,-114.8185,0,45,4,6,0,1,0,0,0,0,0,1,0,0,0,0,0
2,2,0,75,41.42,44.5894,-64.7587,0,45,20,4,0,1,0,0,0,0,0,0,0,1,0,0,0
2,2,0,75,101.85,49.3502,-107.5625,0,45,21,6,0,1,0,0,0,1,0,0,0,0,0,0,0
2,2,0,75,45.11,47.2621,-67.4794,0,45,23,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2,2,0,75,104.72,48.2378,-111.7544,0,45,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2,2,0,75,55.22,52.6094,-73.0079,0,45,15,4,0,1,0,0,0,0,0,0,1,0,0,0,0
2,2,0,75,213.19,45.9307,-103.2479,0,45,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0
2,4,0,17,91.47,45.7419,-76.8718,0,66,11,2,0,0,1,0,0,0,0,0,1,0,0,0,0
2,4,0,17,25.36,46.9915,-77.6593,0,66,16,4,0,0,1,0,0,0,0,0,0,1,0,0,0
2,4,0,17,32.54,44.4742,-97.6345,0,66,14,6,0,0,1,0,0,0,1,0,0,0,0,0,0
2,4,0,17,50.59,43.7542,-60.5321,0,66,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2,4,0,17,133.87,54.2603,-110.2705,0,66,12,3,0,0,1,0,0,0,0,0,0,0,1,0,0
2,4,0,17,80.22,51.8918,-69.4648,0,66,16,3,0,0,1,0,0,0,1,0,0,0,0,0,0
2,4,0,17,43.2,47.1027,-88.3198,0,66,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1
2,4,0,17,86.86,47.13,-88.7896,0,66,2,6,0,0,1,0,0,0,1,0,0,0,0,0,0
4,4,0,64,218.61,44.5704,-101.4985,0,51,23,3,0,0,0,1,1,0,0,0,0,0,0,0,0
4,4,0,64,35.89,50.454,-111.2693,0,51,17,4,0,0,0,1,0,0,0,0,1,0,0,0,0
4,4,0,64,36.12,54.7784,-81.2395,0,51,23,4,0,0,0,1,0,0,1,0,0,0,0,0,0
4,4,0,64,304.73,45.1741,-71.9773,0,51,23,4,0,0,0,1,0,0,1,0,0,0,0,0,0
4,4,0,64,33.27,43.0674,-113.6078,0,51,18,6,0,0,0,1,0,0,0,0,1,0,0,0,0
2,4,0,98,23.98,47.851,-111.8952,0,47,16,3,1,0,0,0,1,0,0,0,0,0,0,0,0
2,4,0,98,137.66,48.8108,-72.1778,0,47,10,2,1,0,0,0,0,0,0,0,1,0,0,0,0
2,4,0,98,124.38,46.6102,-119.6095,0,47,23,6,1,0,0,0,0,0,0,0,1,0,0,0,0
1,-1,0,115,33.46,46.4906,-89.8262,0,49,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0
1,-1,0,115,114.53,48.5461,-114.3382,0,49,16,6,0,0,1,0,0,0,0,0,0,1,0,0,0
-1,1,0,117,144.84,48.8035,-97.0127,0,62,7,3,0,0,1,0,0,1,0,0,0,0,0,0,0
-1,1,0,117,64.74,44.8337,-102.1815,0,62,15,1,0,0,1,0,0,0,0,0,0,1,0,0,0
-1,1,0,117,54.53,50.6658,-94.241,0,62,12,4,0,0,1,0,0,0,0,0,0,1,0,0,0
-1,1,0,117,38.81,47.9914,-79.934,0,62,14,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,2,1,50,151.26,46.1537,-117.3327,0,18,23,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,2,1,50,111.2,46.2944,-90.6913,0,18,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,2,1,50,52.98,43.6381,-84.2455,0,18,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0
3,1,1,24,94.12,52.6362,-92.9737,0,45,20,5,1,0,0,0,0,0,1,0,0,0,0,0,0
3,1,1,24,35.61,43.7149,-84.7352,0,45,16,4,1,0,0,0,0,1,0,0,0,0,0,0,0
3,1,1,24,67.63,46.4783,-90.2796,0,45,12,2,1,0,0,0,1,0,0,0,0,0,0,0,0
3,1,1,24,23.17,52.8125,-69.75,0,45,13,3,1,0,0,0,0,0,0,0,0,0,0,1,0
3,1,1,24,73.62,52.3246,-90.3592,0,45,7,5,1,0,0,0,0,0,0,0,0,1,0,0,0
3,1,1,24,64.17,47.1923,-96.3235,0,45,23,3,1,0,0,0,0,0,0,0,1,0,0,0,0
3,1,1,24,97.48,47.5001,-69.6808,0,45,16,6,1,0,0,0,0,0,0,1,0,0,0,0,0
3,1,1,24,113.07,53.1398,-88.5096,0,45,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1,4,0,19,70.58,46.0151,-77.727,0,76,20,3,0,0,0,1,0,0,0,0,0,0,0,1,0
1,4,0,19,49.61,43.7875,-117.6045,0,76,1,6,0,0,0,1,0,0,0,0,0,0,1,0,0
1,4,0,19,39.14,49.7356,-103.4258,0,76,12,4,0,0,0,1,0,0,0,0,1,0,0,0,0
1,4,0,19,85.01,53.9628,-83.8719,0,76,11,5,0,0,0,1,1,0,0,0,0,0,0,0,0
-1,3,0,43,107.23,45.4913,-70.8624,0,62,23,3,1,0,0,0,0,0,0,0,0,0,1,0,0
-1,3,0,43,28.71,49.7179,-113.2753,0,62,10,4,1,0,0,0,0,0,0,1,0,0,0,0,0
-1,3,0,43,81.34,47.8662,-95.7615,0,62,17,1,1,0,0,0,1,0,0,0,0,0,0,0,0
4,3,2,114,40.31,51.6287,-116.3336,0,76,11,6,0,0,0,1,0,0,0,1,0,0,0,0,0
4,3,2,114,50.05,50.6166,-117.9867,0,76,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0
4,3,2,114,174.32,46.6538,-65.2116,0,76,15,4,0,0,0,1,0,0,0,0,0,1,0,0,0
4,3,2,114,26.93,44.7653,-66.955,0,76,5,5,0,0,0,1,0,0,0,0,0,0,0,1,0
2,2,0,63,39.0,45.5359,-62.2437,0,20,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,2,0,63,88.65,51.5819,-81.3469,0,20,15,3,0,0,1,0,0,1,0,0,0,0,0,0,0
2,2,0,63,123.21,53.061,-77.0969,0,20,22,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2,2,0,63,47.36,44.1708,-82.88,0,20,23,6,0,0,1,0,0,0,0,0,1,0,0,0,0
5,0,0,30,133.99,52.137,-82.3467,0,32,9,6,1,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,30,47.21,53.8167,-66.1205,0,32,17,4,1,0,0,0,0,0,0,0,0,0,0,1,0
5,0,0,30,116.78,52.4643,-66.3368,0,32,8,6,1,0,0,0,0,0,0,0,0,0,0,1,0
5,0,0,30,130.86,45.6505,-104.3822,0,32,20,4,1,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,30,89.63,45.9624,-97.7254,0,32,12,5,1,0,0,0,0,0,0,0,0,0,1,0,0
5,0,0,30,107.23,44.8674,-117.7262,0,32,4,3,1,0,0,0,0,0,0,1,0,0,0,0,0
3,1,2,34,90.0,43.1683,-63.0893,0,44,2,3,0,1,0,0,0,0,0,0,0,0,1,0,0
3,1,2,34,60.0,54.4597,-81.2102,0,44,22,1,0,1,0,0,0,0,1,0,0,0,0,0,0
3,1,2,34,30.9,53.0876,-103.6951,0,44,23,5,0,1,0,0,0,0,0,1,0,0,0,0,0
3,1,2,34,81.38,43.3576,-74.2411,0,44,13,1,0,1,0,0,0,0,0,1,0,0,0,0,0
3,1,2,34,71.99,45.8297,-95.6645,0,44,7,5,0,1,0,0,1,0,0,0,0,0,0,0,0
3,1,2,34,122.63,48.8043,-117.9639,0,44,20,6,0,1,0,0,0,0,0,0,1,0,0,0,0
3,1,2,34,227.33,43.1953,-92.8826,0,44,6,4,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,0,45,32.79,43.2208,-91.607,0,25,23,5,0,0,1,0,0,0,0,0,1,0,0,0,0
1,1,0,45,79.54,54.5066,-95.3509,0,25,12,3,0,0,1,0,0,0,0,0,1,0,0,0,0
1,1,0,45,120.04,47.5003,-85.3773,0,25,17,6,0,0,1,0,0,1,0,0,0,0,0,0,0
1,1,0,45,107.2,52.6842,-105.8116,0,25,14,4,0,0,1,0,0,0,0,0,0,0,1,0,0
1,4,0,27,28.13,48.8538,-100.5186,0,48,14,2,0,0,0,1,0,0,0,0,0,0,1,0,0
